file,reason,run_id,kind,n_records,span_s,end_roll_deg,end_pitch_deg,end_z,desc_dt,desc_dz,desc_rate,desc_vz_min,desc_contact_mean
20260903_032851_run2304_dog0_FALL.json,FALL,2304,TIP,17968,35.93,-165.27,-7.5,-0.0073,0.608,0.2076,0.3415,-0.3731,0.5
20260903_034006_run2316_dog0_FALL.json,FALL,2316,LEVEL,13791,27.58,-0.0,-0.0,0.037,0.84,0.1649,0.1963,-0.7649,0.3333
20260903_034045_run2317_dog0_FALL.json,FALL,2317,LEVEL,13348,26.69,-0.0,3.54,0.0488,0.876,0.1515,0.173,-0.2357,0.2307
20260903_034422_run2321_dog0_FALL.json,FALL,2321,LEVEL,14296,28.59,-0.0,0.0,0.037,0.956,0.1647,0.1723,-0.5418,0.3584
20260903_035007_run2324_dog0_FALL.json,FALL,2324,LEVEL,14181,28.36,-5.66,3.56,0.0534,0.912,0.1469,0.161,-0.1449,0.2057
20260903_035039_run2325_dog0_FALL.json,FALL,2325,LEVEL,8341,16.68,-2.06,-14.03,0.0264,1.304,0.1744,0.1337,-0.1415,0.2091
20260903_035125_run2326_dog0_FALL.json,FALL,2326,LEVEL,14854,29.7,0.0,-0.0,0.0371,0.892,0.1632,0.183,-0.7407,0.3263
20260903_035305_run2328_dog0_FALL.json,FALL,2328,LEVEL,14537,29.07,0.0,-0.0,0.0372,0.708,0.164,0.2316,-0.8173,0.2697
20260903_035832_run2334_dog0_FALL.json,FALL,2334,MIXED,13851,27.7,22.89,8.74,0.0785,0.798,0.1217,0.1526,0.0179,0.2174
20260903_040014_run2336_dog0_FALL.json,FALL,2336,TIP,13568,27.13,35.51,9.3,0.0597,1.234,0.1429,0.1158,-0.0495,0.0943
20260903_040158_run2338_dog0_FALL.json,FALL,2338,LEVEL,17022,34.04,1.04,-0.43,0.0291,0.836,0.1717,0.2054,-0.496,0.3489
20260903_040531_run2342_dog0_FALL.json,FALL,2342,LEVEL,14652,29.3,0.0,-0.0,0.0371,0.772,0.1633,0.2115,-0.3691,0.2864
20260903_040713_run2344_dog0_FALL.json,FALL,2344,LEVEL,15414,30.82,0.01,-0.0,0.037,0.834,0.1635,0.196,-0.5344,0.164
20260903_040858_run2346_dog0_FALL.json,FALL,2346,LEVEL,15588,31.17,4.09,-0.0,-0.0054,0.952,0.2066,0.217,-0.3138,0.2745
20260903_041727_run2355_dog0_FALL.json,FALL,2355,LEVEL,12009,24.01,-0.0,-0.0,0.0371,0.866,0.1644,0.1899,-0.5732,0.1821
20260903_042007_run2358_dog0_FALL.json,FALL,2358,LEVEL,16126,32.25,0.02,-0.0,0.0374,0.884,0.1633,0.1847,-0.6068,0.2052
20260903_042046_run2359_dog0_FALL.json,FALL,2359,LEVEL,12853,25.7,0.1,-0.03,0.0367,0.908,0.1675,0.1845,-0.1853,0.1916
20260903_042129_run2360_dog0_FALL.json,FALL,2360,LEVEL,13932,27.86,-0.0,-0.0,0.0371,0.944,0.1636,0.1733,-0.3987,0.2465
20260903_042208_run2361_dog0_FALL.json,FALL,2361,LEVEL,13019,26.03,-0.14,2.6,0.0457,0.806,0.1566,0.1943,-0.1408,0.1981
20260903_042442_run2364_dog0_FALL.json,FALL,2364,LEVEL,13060,26.12,-0.02,-0.0,0.0364,0.844,0.1642,0.1945,-0.6876,0.2476
20260903_042713_run2367_dog0_FALL.json,FALL,2367,LEVEL,12792,25.58,-0.0,1.92,0.0434,0.798,0.1577,0.1976,-0.0905,0.1435
20260903_042757_run2368_dog0_FALL.json,FALL,2368,LEVEL,13331,26.66,-0.01,-0.0,0.038,0.872,0.1621,0.1858,-0.4818,0.2209
20260903_043031_run2371_dog0_FALL.json,FALL,2371,TIP,14489,28.97,-30.54,12.67,0.0458,0.966,0.1543,0.1597,-0.0924,0.1055
20260903_043253_run2374_dog0_FALL.json,FALL,2374,TIP,12867,25.73,30.34,14.08,0.0626,0.944,0.1383,0.1465,-0.4095,0.1812
20260903_043852_run2381_dog0_FALL.json,FALL,2381,LEVEL,14253,28.5,-8.97,3.04,0.0536,0.906,0.1484,0.1638,-0.5897,0.1461
20260903_043936_run2382_dog0_FALL.json,FALL,2382,LEVEL,15254,30.5,-2.14,2.11,0.0378,0.908,0.1639,0.1805,-0.5948,0.1461
20260903_045117_run2392_dog0_FALL.json,FALL,2392,LEVEL,11462,22.92,-2.96,-0.86,0.0424,0.946,0.1576,0.1666,-0.3422,0.2385
20260903_045343_run2395_dog0_FALL.json,FALL,2395,TIP,11920,23.84,-32.67,11.96,0.0679,0.956,0.1324,0.1385,-0.5096,0.1412
20260903_050911_run2412_dog0_FALL.json,FALL,2412,TIP,15789,31.57,-38.07,8.51,0.0674,0.656,0.1338,0.204,-0.0158,0.2273
20260903_051235_run2416_dog0_FALL.json,FALL,2416,TIP,15470,30.94,-37.42,8.9,0.0859,1.308,0.1154,0.0882,-0.031,0.1639
20260903_051554_run2420_dog0_FALL.json,FALL,2420,LEVEL,12873,25.74,0.85,4.2,0.0564,0.874,0.1448,0.1657,-0.2746,0.3897
20260903_052534_run2431_dog0_FALL.json,FALL,2431,MIXED,13896,27.79,23.55,8.29,0.0816,0.722,0.1187,0.1645,-0.1827,0.2636
20260903_052952_run2436_dog0_FALL.json,FALL,2436,LEVEL,15564,31.12,-0.15,5.74,0.0622,0.862,0.1387,0.1609,-0.3384,0.2284
20260903_053310_run2440_dog0_FALL.json,FALL,2440,LEVEL,12805,25.61,0.07,3.85,0.0553,1.25,0.1452,0.1161,-0.3842,0.253
20260903_053634_run2444_dog0_FALL.json,FALL,2444,LEVEL,14343,28.68,-0.13,-0.76,0.0403,0.856,0.1599,0.1868,-0.4427,0.1371
20260903_053953_run2448_dog0_FALL.json,FALL,2448,TIP,12967,25.93,-29.73,8.47,0.0857,0.984,0.1158,0.1177,-0.2819,0.1637
20260903_054112_run2449_dog0_FALL.json,FALL,2449,LEVEL,14060,28.12,-8.07,10.44,0.0376,0.998,0.163,0.1633,-0.178,0.3962
20260903_054151_run2450_dog0_FALL.json,FALL,2450,LEVEL,13483,26.96,-3.76,1.95,-0.0504,0.682,0.2513,0.3684,-0.1028,0.2135
20260903_054326_run2452_dog0_FALL.json,FALL,2452,LEVEL,14462,28.92,-4.61,4.77,0.0106,1.032,0.1899,0.1841,-0.6061,0.3026
20260903_055010_run2457_dog0_FALL.json,FALL,2457,TIP,12984,25.96,37.47,12.76,0.0341,0.962,0.1662,0.1728,0.1059,0.2131
